accuracy,max depth,max leaf nodes
0.8055555555555556,10,10
0.7444444444444445,10,20
0.7444444444444445,10,30
0.7388888888888889,10,40
0.7277777777777777,10,50
0.7222222222222222,10,60
0.6944444444444444,10,70
0.7222222222222222,10,80
0.6944444444444444,10,90
0.8055555555555556,20,10
0.7444444444444445,20,20
0.7555555555555555,20,30
0.7277777777777777,20,40
0.7388888888888889,20,50
0.7111111111111111,20,60
0.7111111111111111,20,70
0.7,20,80
0.7222222222222222,20,90
0.8055555555555556,30,10
0.7444444444444445,30,20
0.75,30,30
0.7388888888888889,30,40
0.7277777777777777,30,50
0.7111111111111111,30,60
0.7111111111111111,30,70
0.7,30,80
0.7111111111111111,30,90
0.8055555555555556,40,10
0.7444444444444445,40,20
0.7555555555555555,40,30
0.7388888888888889,40,40
0.7222222222222222,40,50
0.7166666666666667,40,60
0.7,40,70
0.7222222222222222,40,80
0.7277777777777777,40,90
0.8055555555555556,50,10
0.7444444444444445,50,20
0.7555555555555555,50,30
0.7277777777777777,50,40
0.7222222222222222,50,50
0.7,50,60
0.7,50,70
0.7,50,80
0.7166666666666667,50,90
0.8055555555555556,60,10
0.7444444444444445,60,20
0.75,60,30
0.7388888888888889,60,40
0.7222222222222222,60,50
0.7111111111111111,60,60
0.7111111111111111,60,70
0.7111111111111111,60,80
0.6722222222222223,60,90
0.8055555555555556,70,10
0.7444444444444445,70,20
0.7666666666666667,70,30
0.7277777777777777,70,40
0.7166666666666667,70,50
0.7055555555555556,70,60
0.7,70,70
0.7055555555555556,70,80
0.6944444444444444,70,90
0.8055555555555556,80,10
0.7444444444444445,80,20
0.75,80,30
0.7277777777777777,80,40
0.7222222222222222,80,50
0.7,80,60
0.7277777777777777,80,70
0.6833333333333333,80,80
0.7166666666666667,80,90
0.8055555555555556,90,10
0.7444444444444445,90,20
0.75,90,30
0.7388888888888889,90,40
0.7222222222222222,90,50
0.7055555555555556,90,60
0.7111111111111111,90,70
0.7333333333333333,90,80
0.7055555555555556,90,90
